title_id;release_id;year;title;subtitle;distributor;genres;runtime;release_date;earliest_release_date;release_worldwide_gross;release_domestic_gross;release_foreign_gross;release_domestic_opening;title_worldwide_gross;title_domestic_gross;title_foreign_gross;n_theaters_opening;n_theaters_widest;days_in_release;summary;mpaa;country;language;budget;director;writer;cast;production;link_tomato;rating_imdb;rating_count_imdb;rating_metacritic;rating_count_metacritic;rating_tomatometer;rating_count_tomatometer;rating_audience_score;rating_count_audience_score;;
tt5670152;rl235046401;2018;Traffik;;Lionsgate;action,crime,drama,thriller;96;2018,04,20;2018,04,20;9515914;9186156;329758;3941338;9515914;9186156;329758;1046;1046;256;a couple off for a romantic weekend in the mountains are accosted by a biker gang alone in the mountains brea and john must defend themselves against the gang who will stop at nothing to protect their secrets;R;USA;English;4000000;Deon Taylor;Deon Taylor;Priscilla Quintana, Luke Goss, Paula Patton, William Fichtner;Codeblack Films;https://www.rottentomatoes.com/m/traffik_2018;60;17161;37;10;29;31;46;537;;
tt5613484;rl1845986817;2018;Mid90s;;A24;comedy,drama;85;2018,10,19;2018,10,19;9303022;7362439;1940583;258157;9303022;7362439;1940583;4;1206;393;follows stevie a thirteenyearold in 1990sera los angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a motor avenue skate shop;R;USA;English;;Jonah Hill;Jonah Hill;Sunny Suljic, Katherine Waterston, Lucas Hedges, Na-kel Smith;A24;https://www.rottentomatoes.com/m/mid90s;74;31923;66;45;81;217;79;2441;;
tt4154916;rl1258653185;2018;Replicas;;Entertainment Studios Motion Pictures;drama,scifi,thriller;107;2019,01,11;2018,10,25;9206925;4046429;5160496;2375325;9206925;4046429;5160496;2329;2329;310;a scientist becomes obsessed with bringing back his family members who died in a traffic accident;PG-13;UK;English;30000000;Jeffrey Nachmanoff;Chad St. John (screenplay by), Stephen Hamel (story by);Keanu Reeves, Alice Eve, Thomas Middleditch, John Ortiz;Entertainment Studios Motion Pictures;http://www.rottentomatoes.com/m/replicas_2016/;55;23708;19;15;9;53;34;1179;;
tt5466186;rl2298512897;2018;7 Days in Entebbe;;Focus Features;action,drama,history,thriller;107;2018,03,16;2018,03,15;8771432;3326885;5444547;1592645;8771432;3326885;5444547;838;838;291;inspired by the true events of the 1976 hijacking of an air france flight en route from tel aviv to paris and the most daring rescue mission ever attempted;PG-13;UK;English;;José Padilha;Gregory Burke (screenplay by);Batsheva Dance Company, Zina Zinchenko, Ben Schnetzer, Daniel Brühl;Focus Features;https://www.rottentomatoes.com/m/entebbe;58;11364;49;29;24;112;38;747;;
tt6915100;rl2332395009;2018;Pope Francis - A Man Of His Word;;Focus Features;biography,documentary;96;2018,05,18;2018,05,18;8608385;2008385;6600000;507870;8608385;2008385;6600000;346;385;228;pope francis;PG;Switzerland;Italian;;Wim Wenders;Wim Wenders (screenplay), David Rosier;Pope Francis, Ignazio Oliva, Sister María Eufemia Goycoechea, Joe Biden;Focus Features;https://www.rottentomatoes.com/m/pope_francis_a_man_of_his_word;59;1517;63;24;82;73;76;429;;
tt5709188;rl1912899073;2018;A-X-L;;Global Road Entertainment;action,adventure,family,scifi,thriller;98;2018,08,24;2018,08,16;8467697;6501381;1966316;2798229;8467697;6501381;1966316;1710;1710;130;axl is a topsecret robotic dog who develops a special friendship with miles and will go to any length to protect his new companion;PG;USA;English;10000000;Oliver Daly;Oliver Daly;Alex Neustaedter, Becky G, Alex MacNicoll, Dominic Rains;Cranium Entertainment;https://www.rottentomatoes.com/m/miles;52;8046;29;7;70;10;45;63;;
tt1034415;rl3238299137;2018;Suspiria;;Amazon Studios;fantasy,horror,mystery,thriller;152;2018,10,26;2018,10,26;7942093;2483472;5458621;184037;7942093;2483472;5458621;2;311;386;a darkness swirls at the center of a worldrenowned dance company one that will engulf the artistic director an ambitious young dancer and a grieving psychotherapist some will succumb to the nightmare others will finally wake up;R;Italy;English;20000000;Luca Guadagnino;Dario Argento (characters), Daria Nicolodi (characters), David Kajganich (screenplay);Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela;Amazon Studios;https://www.rottentomatoes.com/m/suspiria_2018;68;46567;64;56;66;312;66;2444;;
tt6108178;rl3959588353;2018;Disobedience;;Bleecker Street Media;drama,romance;114;2018,04,27;2018,04,27;7870127;3498782;4371345;237393;7870127;3498782;4371345;5;247;249;a woman returns to her orthodox jewish community that shunned her for her attraction to a female childhood friend once back their passions reignite as they explore the boundaries of faith and sexuality;R;Ireland;English;6000000;Sebastián Lelio;Sebastián Lelio, Rebecca Lenkiewicz, Naomi Alderman (based on the novel by);Anton Lesser, Alessandro Nivola, Allan Corduner, Nicholas Woodeson;N/A;https://www.rottentomatoes.com/m/disobedience_2017;66;20277;74;38;84;193;76;2810;;
tt5989218;rl688162305;2018;Life Itself;;Amazon Studios;drama,romance;117;2018,09,21;2018,09,21;7790271;4102648;3687623;2123463;7790271;4102648;3687623;2609;2609;105;as a young new york city couple goes from college romance to marriage and the birth of their first child the unexpected twists of their journey create reverberations that echo over continents and through lifetimes;R;USA;English;10000000;Dan Fogelman;Dan Fogelman;Oscar Isaac, Olivia Wilde, Annette Bening, Mandy Patinkin;Amazon Studios;https://www.rottentomatoes.com/m/life_itself_2018;67;11504;21;39;14;144;83;1243;;
tt3892172;rl4060448257;2018;Leave No Trace;;Bleecker Street Media;drama;109;2018,06,29;2018,06,29;7682928;6046104;1636824;219140;7682928;6046104;1636824;9;361;186;a father and his thirteen yearold daughter are living an ideal existence in a vast urban park in portland oregon when a small mistake derails their lives forever;PG;USA;English;;Debra Granik;"Debra Granik (screenplay by), Anne Rosellini (screenplay by), Peter Rock (based on the novel ""My Abandonment"" by)";Thomasin McKenzie, Ben Foster, Jeffery Rifflard, Derek John Drescher;Bleecker Street;https://www.rottentomatoes.com/m/my_abandonment;72;38115;88;44;100;220;81;4527;;
tt4669264;rl3942811137;2018;Beirut;;Bleecker Street Media;drama,thriller;109;2018,04,11;2018,04,11;7509436;5019226;2490210;1734497;7509436;5019226;2490210;755;755;265;caught in the crossfires of civil war cia operatives must send a former us diplomat to negotiate for the life of a friend he left behind;R;USA;English;;Brad Anderson;Tony Gilroy;Jon Hamm, Jay Potter, Khalid Benchagra, Ania Josse;Bleecker Street;https://www.rottentomatoes.com/m/beirut;64;16115;69;31;83;126;55;1358;;
