rank;year;title_name;title_id;distributor;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;genres
6441;1994;death and the maiden;tt0109579;fine line features;23;12;1994;3103716;3103716;;74366;12000000;drama,mystery,thriller
6442;2005;supercross;tt0403016;twentieth century fox;17;8;2005;3344431;3102550;241881;1330520;;action,drama,romance,sport
6443;1985;the legend of billie jean;tt0089470;tristar pictures;19;7;1985;3099497;3099497;;1466884;;action,drama
6444;2002;8 femmes;tt0283832;focus features;6;2;2002;42426583;3098776;39327807;52489;;comedy,crime,musical,romance
6445;2003;the guru;tt0280720;universal pictures;23;8;2002;24128852;3095506;21033346;613485;;comedy,music,romance
6446;2012;celeste  jesse forever;tt1405365;sony pictures classics;3;8;2012;3640975;3094813;546162;107785;;comedy,drama,romance
6447;2007;fast track;tt0458364;mgmweinstein;23;2;2007;5178640;3093394;2085246;1394229;;comedy,romance
6448;2002;paid in full;tt0259484;miramax;25;10;2002;3116526;3090862;25664;1328789;;action,crime,drama
6449;1992;tous les matins du monde;tt0103110;october films;13;11;1992;3089497;3089497;;39277;;biography,drama,history,music,romance
6450;2008;synecdoche new york;tt0383028;sony pictures classics;24;10;2008;4580758;3083538;1497220;172194;20000000;comedy,drama
6451;1981;the fan;tt0082362;paramount pictures;15;5;1981;3082096;3082096;;;;drama,horror,thriller
6452;1989;speed zone;tt0098369;orion pictures;21;4;1989;3077361;3077361;;1475494;;action,comedy
6453;1988;dominick and eugene;tt0095050;orion pictures;18;3;1988;3076031;3076031;;280763;;drama
6454;2010;chloe;tt1352824;sony pictures classics;25;2;2010;11702642;3075255;8627387;900688;14000000;drama,mystery,romance,thriller
6455;1988;messenger of death;tt0095626;cannon film distributors;16;9;1988;3074681;3074681;;1035279;;action,crime,mystery,thriller
4510;2018;upgrade;tt6499752;bh tilt;31;5;2018;14377130;11977130;2400000;4670905;;action,horror,scifi,thriller
6457;1992;the public eye;tt0105187;universal pictures;16;10;1992;3067917;3067917;;1139825;;crime,drama,romance,thriller
6458;2001;hedwig and the angry inch;tt0248845;fine line features;20;7;2001;3644200;3067312;576888;156724;;comedy,drama,music,musical
6459;2015;dil dhadakne do;tt4110568;eros international;4;6;2015;4161630;3066100;1095530;1326267;;comedy,drama,romance
6460;2002;sunshine state;tt0286179;sony pictures releasing;21;6;2002;3369654;3065921;303733;93072;;drama,romance
6461;2015;ladrones;tt4296800;lionsgate;9;10;2015;3504414;3063505;440909;1411031;;comedy
6462;1994;princess caraboo;tt0110892;tristar pictures;16;9;1994;3062530;3062530;;1005287;;comedy,drama,history,mystery,romance
6463;1987;malone;tt0093483;orion pictures;1;5;1987;3060858;3060858;;1377691;;action,drama,thriller
6464;2001;songcatcher;tt0210299;lionsgate;1;3;2001;3171273;3059834;111439;41967;;drama,music
6465;2005;the wild parrots of telegraph hill;tt0424565;shadow distribution;9;2;2005;3218709;3058527;160182;36731;;documentary
6466;2008;bikur hatizmoret;tt1032856;sony pictures classics;13;9;2007;14555884;3054457;11501427;67492;;comedy,drama,music,romance
6467;1992;crisscross;tt0104027;metrogoldwynmayer mgm;8;5;1992;3052738;3052738;;1041264;;crime,drama
6468;2001;the golden bowl;tt0200669;lionsgate;27;4;2001;5753678;3050532;2703146;90170;;drama,romance
6469;1994;heavenly creatures;tt0110005;miramax;16;11;1994;3049135;3049135;;31592;5000000;biography,crime,drama,thriller
6470;2002;russkiy kovcheg;tt0318034;wellspring media;8;11;2002;8690168;3048997;5641171;29022;;drama,fantasy,history,mystery
6471;2012;jab tak hai jaan;tt2176013;yash raj films;13;11;2012;6797958;3047539;3750419;1283585;;drama,romance
6472;2015;tanu weds manu returns;tt2140465;eros international;22;5;2015;4180081;3043479;1136602;1006476;;comedy,drama,romance
6473;2000;the house of mirth;tt0200720;sony pictures classics;22;12;2000;5164404;3043284;2121120;48770;;drama,romance
